size,threads,runtime,runtimesd,energy,energysd
1100,3,1.24716580,0.03664338,23.59910202,0.70877171
1100,4,1.26581204,0.00498196,23.74878883,0.14525048
1100,5,0.76360238,0.02420698,17.33401489,0.48389989
1100,6,0.67934310,0.01930447,15.69292736,0.37651756
1100,7,0.57144797,0.01657657,15.19550991,0.50154215
1100,8,0.50103170,0.01994641,13.67371941,0.68871641
1100,9,0.43313205,0.01258290,13.19430542,0.30824077
1100,10,0.49588621,0.00343606,15.14036846,0.68960679
1100,11,0.36044824,0.01305368,13.21480465,0.98596972
1100,12,0.32857728,0.00824300,11.54848957,0.22897907
1100,13,0.29877809,0.00903665,11.44187260,0.28613704
1100,14,0.29558977,0.01104574,11.40446758,0.37996599
1100,15,0.27418223,0.00861218,11.52649403,0.28446883
1100,16,0.24535377,0.00528505,10.48752117,0.17141014
1200,1,1.50115037,0.00223160,23.80623055,0.33455816
1200,2,3.25057435,0.53552371,49.35268021,7.98085690
1200,3,1.72473407,0.06336951,32.25128174,1.22572291
1200,4,1.35930622,0.05100315,26.03668404,0.88657475
1200,5,1.24145520,0.07931576,27.67890930,1.66170549
1200,6,0.91330343,0.02710173,20.83911324,0.50037748
1200,7,0.77416730,0.02769723,20.29507828,0.58705956
1200,8,0.67102915,0.02590355,18.07848930,0.76696891
1200,9,0.59503508,0.01984063,17.97693062,0.47973979
1200,10,0.52744102,0.02146547,16.34096146,0.51178312
1200,11,0.65478921,0.03963787,21.70163727,1.11936045
1200,12,0.44219342,0.01807885,15.46757126,0.51346588
1200,13,0.41704684,0.01413038,15.76756954,0.43439531
1200,14,0.60047793,0.01046640,22.07968903,0.38617682
1200,15,0.36791784,0.00732551,15.32939911,0.27291825
1200,16,0.35304898,0.02180617,14.85317993,0.80677032
1300,1,1.96790588,0.04076592,31.55996895,1.59005535
1300,2,7.91768074,0.66257423,119.13574219,9.85902691
1300,3,5.04294014,0.50479025,90.42012787,8.52781677
1300,4,4.19755363,0.26781452,76.50900269,4.73732519
1300,5,3.35355568,0.33084753,71.50906372,7.15693331
1300,6,2.72172451,0.41115481,58.69601440,8.39795113
1300,7,2.10766697,0.13120705,52.53082657,3.03996825
1300,8,2.09461355,0.14088586,52.17290878,3.31461644
1300,9,1.48775136,0.09829871,42.61953735,2.87465000
1300,10,1.80008304,0.14315869,51.09403229,3.76373053
1300,11,1.48568714,0.14969817,47.38967133,4.36958694
1300,12,1.45002759,0.03118695,46.74778366,1.19562912
1300,13,1.37356877,0.12778457,48.82753754,3.98476505
1300,14,1.11976635,0.01566377,40.21531677,0.47073954
1300,15,1.00062406,0.06744898,39.17847824,2.35435915
1300,16,1.22927761,0.02416672,47.39374161,0.82142580
1400,1,2.43351150,0.01320856,39.01130676,1.04090619
1400,2,8.25414848,1.64448714,124.69814301,24.65361023
1400,3,6.10276651,1.01048625,109.90552521,17.21438599
1400,4,4.79505348,0.99798697,86.71092987,16.78281021
1400,5,4.61177826,0.61955947,97.65042114,12.52526951
1400,6,3.82886434,0.45404193,81.79453278,8.95901012
1400,7,2.99925041,0.55690747,74.27127075,12.47331905
1400,8,2.71066856,0.32948592,68.15284729,9.52736092
1400,9,2.51353407,0.54242074,70.46846008,14.01398659
1400,10,2.44536567,0.25668451,68.95067596,6.67150497
1400,11,2.00987530,0.32180664,63.81527328,9.47681904
1400,12,1.80920863,0.27542943,58.11723328,8.41217041
1400,13,2.02020741,0.20836504,70.60783386,6.79992819
1400,14,1.90565860,0.10742564,66.68806458,3.38436389
1400,15,1.68616772,0.22062847,64.51497650,7.86019182
1400,16,1.73151195,0.01862592,66.08708191,0.71478432
1500,1,3.13719058,0.01864421,50.10522842,0.87813169
1500,2,17.20568275,0.62407976,258.69360352,10.02931309
1500,3,11.50237465,0.10369731,204.32318115,4.70138931
1500,4,8.73259163,0.07294856,156.18061829,2.12517118
1500,5,6.96632528,0.07361377,146.24568176,1.94036794
1500,6,5.83840990,0.04550889,124.07403564,2.23248458
1500,7,5.03051376,0.03626926,123.00198364,1.54314399
1500,8,4.38044739,0.03774574,108.56307983,0.80641747
1500,9,3.88235927,0.04125472,108.02102661,1.39708948
1500,10,3.54157829,0.02052009,100.06239319,1.15283358
1500,11,3.20617318,0.02769396,102.35500336,3.50369692
1500,12,2.93166780,0.01696744,92.88030243,1.18205738
1500,13,2.71095157,0.01819797,95.13287354,0.64520520
1500,14,2.52046657,0.01555324,89.45998383,0.73275036
1500,15,2.34975863,0.01213449,89.74177551,0.39111444
1500,16,2.21757913,0.02653866,84.78477478,0.78160352
