pin,size,threads,runtime,runtimestd,usertime,usertimestd,energy,energystd
true,500,4,0.10961064,0.00158589,0.43505722,0.00567943,2.74718164,0.06949556
true,500,5,0.10544312,0.00142553,0.51918459,0.00049661,2.64997246,0.02135098
true,500,6,0.10036676,0.00035635,0.59450412,0.00172400,2.59129580,0.03553845
true,500,7,0.09658252,0.00052398,0.66693401,0.00129013,2.77742572,0.19813935
true,500,8,0.09244232,0.00056913,0.72972217,0.00141197,2.45717148,0.02245353
true,500,9,0.07765187,0.00216272,0.67868931,0.00161599,2.37261356,0.16321691
true,500,10,0.06651090,0.00332625,0.64004516,0.00197501,2.17597958,0.03969193
true,500,11,0.05814578,0.00263808,0.62003486,0.00168781,2.10253490,0.03604997
true,500,12,0.05078566,0.00049193,0.59541903,0.00061569,2.01571260,0.02171093
true,500,13,0.05010212,0.00036075,0.63418533,0.00415653,2.00493752,0.03225474
true,500,14,0.04893729,0.00011639,0.66466599,0.00083173,1.98614122,0.01200997
true,500,15,0.04765970,0.00012177,0.69840135,0.00058311,1.95471066,0.01625844
true,500,16,0.04749256,0.00015272,0.73622996,0.00138676,1.96052722,0.00995659
true,750,4,0.37233832,0.00424306,1.47951618,0.01572572,9.55876952,0.10185903
true,750,5,0.35570741,0.00454507,1.75606828,0.00171235,9.20715056,0.28307303
true,750,6,0.33905697,0.00137311,2.01709574,0.00603478,8.89602698,0.07667324
true,750,7,0.31742454,0.00184658,2.20396255,0.00490971,8.42604414,0.03315218
true,750,8,0.30320758,0.00175671,2.40496246,0.01274585,8.13181750,0.13271960
true,750,9,0.26448401,0.01317150,2.23632382,0.01086643,7.82147418,0.17213958
true,750,10,0.23016580,0.01909847,2.16592098,0.01260967,7.59539202,0.25022498
true,750,11,0.18970989,0.00053591,2.05474286,0.00155733,7.08597918,0.01674254
true,750,12,0.16854231,0.00170900,1.99006846,0.00619310,6.91747136,0.02592002
true,750,13,0.16445639,0.00074865,2.10075737,0.00854687,6.80824910,0.05983975
true,750,14,0.16335106,0.00070621,2.24396065,0.00652141,6.81216628,0.02849419
true,750,15,0.15684612,0.00066726,2.30765428,0.00303625,6.56700962,0.02952904
true,750,16,0.15712403,0.00044006,2.46342381,0.00457628,6.67179072,0.01882823
true,1000,4,0.88570586,0.00790035,3.52054786,0.02585209,22.96469096,0.46127591
true,1000,5,0.87956034,0.00494387,4.35599839,0.02157808,22.80889544,0.73202684
true,1000,6,0.85373436,0.00657561,5.07576285,0.00872029,22.03747770,0.10321866
true,1000,7,0.83627669,0.00545622,5.79560434,0.03325653,22.13637754,0.38973545
true,1000,8,0.82217596,0.00740399,6.47508911,0.03241092,21.73526904,0.17593249
true,1000,9,0.68997003,0.03873791,5.90660739,0.03236737,20.11590796,0.48444871
true,1000,10,0.56833277,0.03189134,5.53998005,0.02531047,18.93587686,0.46851874
true,1000,11,0.49095674,0.02450767,5.28952468,0.02379909,18.28012036,0.36338810
true,1000,12,0.42860739,0.00259809,5.08681618,0.02859337,17.57231590,0.17929772
true,1000,13,0.42331720,0.00120016,5.43072921,0.00911499,17.44686448,0.04843228
true,1000,14,0.41852245,0.00567832,5.78071606,0.08000930,17.38411202,0.42133770
true,1000,15,0.41538866,0.00360890,6.12524256,0.03703465,17.30799774,0.15471475
true,1000,16,0.41282902,0.00116124,6.50965256,0.01240864,17.23702988,0.05706962
true,1250,4,1.75171508,0.00727725,6.97180589,0.01618010,45.53102956,0.57217648
true,1250,5,1.88217184,0.03105293,9.04479287,0.06232564,47.70550284,0.44468822
true,1250,6,1.88015795,0.01711142,11.02389081,0.06215091,48.52656642,1.55630908
true,1250,7,1.89676291,0.03074213,13.13946643,0.19047962,49.13281854,1.87272559
true,1250,8,2.01813405,0.00574917,16.06096004,0.04439911,50.95545686,0.23570830
true,1250,9,1.53504353,0.06275781,13.45545739,0.15611771,44.50845048,1.55078972
true,1250,10,1.26424883,0.03963576,12.42688691,0.05886144,41.27511778,0.53798225
true,1250,11,1.06791905,0.05100308,11.56548550,0.07052779,39.04003918,0.70987388
true,1250,12,0.94645752,0.01505573,10.92527890,0.05331266,37.43922676,0.23791834
true,1250,13,0.94295444,0.01111657,11.88583837,0.07229663,37.60530666,0.14527470
true,1250,14,0.95377078,0.01268666,13.00982083,0.17343017,38.31506422,0.56220217
