pin,size,threads,runtime,runtimesd,energy,energysd,name
true,600,16,0.03589412,0.0015499667,1.6312823,0.059453238,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_600_600__i__i__d_600_600__i__i__d_600_600__d
true,700,1,0.5159769,0.000955507,8.056043,0.048823573,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,2,0.43241176,0.007910805,6.8840294,0.1935048,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,3,0.2874781,0.0035485274,5.5726123,0.05755808,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,4,0.22225101,0.003957929,4.4056683,0.0766009,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,5,0.17798942,0.0036159249,4.1264567,0.094016865,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,6,0.14935161,0.0042300993,3.6690075,0.28665605,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,7,0.13145642,0.0050211293,3.5841413,0.13306992,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,8,0.111654356,0.0023538356,3.170398,0.15649341,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,9,0.10279573,0.004307367,3.234458,0.13797678,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,10,0.09443569,0.005223682,3.0367377,0.14549623,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,11,0.081518576,0.0023046401,2.9427872,0.0778469,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,12,0.07593511,0.0019151759,2.780813,0.06322739,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,13,0.07096727,0.0028123425,2.8592653,0.09717504,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,14,0.06468913,0.004348422,2.6521902,0.07927045,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,15,0.06224641,0.0020761853,2.7917898,0.07964447,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,700,16,0.058341883,0.0066393875,2.6594765,0.24634486,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_700_700__i__i__d_700_700__i__i__d_700_700__d
true,800,1,1.015515,0.00043688092,15.139843,0.24045089,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,2,0.7604181,0.002760194,11.965305,0.09941697,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,3,0.52817935,0.00409384,9.881131,0.09013225,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
true,800,4,0.38506153,0.006321735,7.5654016,0.27040005,SACf__MAIN_CL_ST___mtspmdf_1089_matmul__d_800_800__i__i__d_800_800__i__i__d_800_800__d
