pin,size,threads,runtime,runtimesd,energy,energysd
false,5000,10,0.01174319,0.00000980,0.44768909,0.01645046
false,5000,11,0.01068638,0.00000926,0.45451793,0.01927993
false,5000,12,0.00979500,0.00000854,0.42712966,0.02008711
false,5000,13,0.00904346,0.00000870,0.43305409,0.01452575
false,5000,14,0.00840934,0.00003861,0.41059524,0.02371185
false,5000,15,0.00793115,0.00074086,0.41866341,0.01906586
false,5000,16,0.00735378,0.00001607,0.40129593,0.02648914
false,10000,1,0.23198876,0.00056204,4.02767420,0.08845981
false,10000,2,0.23559862,0.00119409,4.11012411,0.11981655
false,10000,3,0.15667890,0.00072231,3.37457395,0.03470441
false,10000,4,0.11766069,0.00053070,2.69712925,0.12797056
false,10000,5,0.09405340,0.00046703,2.51523805,0.03767762
false,10000,6,0.07840055,0.00036292,2.17918229,0.02059138
false,10000,7,0.06732369,0.00039473,2.15172410,0.02343992
false,10000,8,0.05886471,0.00026873,1.94384623,0.02030349
false,10000,9,0.05233987,0.00031682,1.96356463,0.06310999
false,10000,10,0.04707168,0.00021695,1.79443026,0.02295650
false,10000,11,0.04278084,0.00019058,1.81242275,0.01803576
false,10000,12,0.03925485,0.00020587,1.72504604,0.05067158
false,10000,13,0.03617109,0.00016651,1.77656174,0.06881818
false,10000,14,0.03361078,0.00014193,1.66170120,0.04017173
false,10000,15,0.03134013,0.00013577,1.68708587,0.02704008
false,10000,16,0.02989688,0.00210172,1.65311587,0.08529565
false,25000,1,1.57829118,0.01066068,27.39105225,0.69224495
false,25000,2,1.48536956,0.00449182,25.89106941,0.54017216
false,25000,3,0.99003816,0.00624415,21.84743881,0.49823907
false,25000,4,0.74343657,0.00242651,17.65267181,0.80335379
false,25000,5,0.59582561,0.00757235,16.53708076,0.38160950
false,25000,6,0.52198070,0.02573916,14.85236073,0.64100385
false,25000,7,0.44719133,0.02311739,14.71956444,0.62876451
false,25000,8,0.39332080,0.01542122,13.42132187,0.52368540
false,25000,9,0.34928837,0.01506520,13.36867714,0.48398367
false,25000,10,0.31465432,0.01165819,12.44270039,0.40257326
false,25000,11,0.29243758,0.01397848,12.84821415,0.49677083
false,25000,12,0.26864856,0.01443424,12.09379673,0.51892018
false,25000,13,0.24786663,0.01101890,12.30541897,0.48465323
false,25000,14,0.23192434,0.01281021,11.78038597,0.51086450
false,25000,15,0.22235960,0.01761356,12.27880955,0.78864789
false,25000,16,0.21665615,0.01676003,12.09695339,0.71098983
