"#Busy","Idle W"
0,3.836681466666669
1,14.12038926666667
2,16.085454833333323
3,18.31358635000001
4,20.653613300000014
5,23.054486066666684
6,25.75787575000001
7,27.938025599999996
8,30.478582049999993
9,30.880170983333336
10,31.252698100000018
11,31.997324100000004
12,32.60689691666666
13,32.935350666666636
14,33.5787206
15,34.18729143333329
16,34.3761021833333
