busy,threads,energy,runtime,usertime
16,17,1.51063931,0.00623082,0.16275351
16,18,1.66449439,0.00712556,0.17970081
16,19,1.63095860,0.00690673,0.17673060
16,20,1.55188377,0.00645583,0.16950560
16,21,1.56838627,0.00638936,0.16847599
16,22,1.57724946,0.00649893,0.17128814
16,23,1.54253134,0.00623276,0.16592069
16,24,1.56173600,0.00625290,0.16634900
16,25,1.56806126,0.00640406,0.17013213
16,26,1.59748196,0.00646239,0.17144717
16,27,1.55692750,0.00635291,0.16890491
16,28,1.60641503,0.00647259,0.17291715
16,29,1.62166516,0.00657612,0.17352850
16,30,1.62362910,0.00674908,0.17715193
16,31,1.62536338,0.00675302,0.17815682
16,32,1.65051125,0.00676921,0.17580899
20,1,10.63879925,0.05888491,1.23569871
20,2,5.12935703,0.02894789,0.63689567
20,3,5.22625374,0.02884619,0.63473914
20,4,2.83520672,0.01446263,0.34710360
20,5,2.24557187,0.01160764,0.28974095
20,6,2.69084318,0.01375448,0.33555972
20,7,1.97896120,0.00980304,0.25494589
20,8,1.71518983,0.00737537,0.20600123
20,9,1.73066230,0.00747761,0.20809098
20,10,1.47086077,0.00615122,0.18204175
20,11,1.59003055,0.00658388,0.18990743
20,12,1.48935314,0.00598715,0.17909839
20,13,1.90529569,0.00809814,0.22248564
20,14,2.12432264,0.00924123,0.24745247
20,15,2.01706842,0.00865643,0.23506170
20,16,1.84987545,0.00779911,0.21691610
20,17,1.92720349,0.00803605,0.22323382
20,18,1.91413650,0.00806721,0.22447270
20,19,1.84405232,0.00777158,0.21830086
20,20,1.78803327,0.00742033,0.21141075
20,21,1.88260513,0.00784768,0.22039053
20,22,1.89020567,0.00785840,0.22154789
20,23,1.89364919,0.00797543,0.22346278
20,24,1.91898674,0.00806583,0.22597817
20,25,1.87649075,0.00785179,0.22247745
20,26,1.86876232,0.00777366,0.22045516
20,27,1.86260609,0.00772496,0.22067059
20,28,1.86855950,0.00774468,0.22018906
20,29,1.87815979,0.00779437,0.22205557
20,30,1.94558313,0.00804004,0.22680607
20,31,1.88684226,0.00782626,0.22328615
20,32,1.89536347,0.00797766,0.22587997
24,1,10.89227423,0.05877666,1.46817725
24,2,5.50370025,0.02892338,0.75170597
24,3,5.15658112,0.02884945,0.74902092
24,4,3.10247598,0.01467358,0.41074486
24,5,2.35801728,0.01224728,0.35162866
24,6,2.51842381,0.01187606,0.34179608
24,7,2.52143474,0.01149728,0.33376271
24,8,2.03375773,0.00861518,0.26547285
24,9,2.14930068,0.00914383,0.27742616
24,10,2.78923308,0.01222519,0.35279990
24,11,2.83048668,0.01238082,0.35678385
24,12,2.62274460,0.01135879,0.33289560
24,13,2.51959185,0.01076498,0.31888427
24,14,2.54223663,0.01095604,0.32325604
24,15,2.52461642,0.01084223,0.32146138
24,16,2.60691141,0.01119243,0.32954107
24,17,2.60118941,0.01113228,0.32726841
24,18,2.60392949,0.01113496,0.32902878
24,19,2.50717701,0.01060825,0.31617650
24,20,2.39392088,0.01015643,0.30557270
24,21,2.40655685,0.01020307,0.30563188
24,22,2.42715199,0.01029377,0.30836535
24,23,2.41722746,0.01020052,0.30710176
24,24,2.44088217,0.01037347,0.31120168
24,25,2.53907418,0.01079120,0.32197114
24,26,2.47278568,0.01045361,0.31260855
24,27,2.43062404,0.01026960,0.30993697
24,28,2.45008148,0.01037100,0.31289418
