size,pin,threads,runtime,energy
1250,false,16,1.0357466,41.671707
1250,false,16,1.0212266,41.360184
1250,false,16,1.0301517,41.619034
1250,false,16,1.035179,41.791336
1250,false,16,1.0199779,41.401627
1250,false,16,1.0195234,41.42885
1250,false,16,1.0237311,41.42464
1250,false,16,1.0293697,41.629288
1250,false,16,1.0297107,41.633987
1250,false,8,1.0329177,41.815502
1250,false,8,0.9199697,37.05386
1250,false,8,0.8994418,36.71341
1250,false,8,0.8917955,36.72592
1250,false,8,0.8804093,36.521084
1250,false,8,0.8915576,36.653347
1250,false,8,0.92572516,37.15536
1250,false,8,0.8807497,36.44131
1250,false,8,0.88055634,36.59384
1250,false,8,0.8923758,36.763153
1250,false,3.1999998,0.8919813,36.59695
1250,false,3.1999998,3.5652575,69.46564
1250,false,3.1999998,2.3797176,55.299786
1250,false,3.1999998,2.6660666,58.50339
1250,false,3.1999998,2.441975,55.746742
1250,false,3.1999998,2.372188,54.530987
1250,false,3.1999998,2.6661747,58.169712
1250,false,3.1999998,3.5625432,68.88569
1250,false,3.1999998,2.3729658,54.954266
1250,false,3.1999998,2.3731618,54.52336
1250,false,11.2,2.6647477,58.191257
1250,false,11.2,0.9355365,38.147488
1250,false,11.2,0.92593086,37.688683
1250,false,11.2,0.9230137,37.640774
1250,false,11.2,0.90432554,37.404324
1250,false,11.2,0.9223517,37.641445
1250,false,11.2,0.93560123,38.025963
1250,false,11.2,0.9093327,37.551723
1250,false,11.2,0.9252693,37.742455
1250,false,11.2,0.9224879,37.734097
1250,false,16,0.90403944,37.42898
1250,false,16,1.0350362,41.778397
1250,false,16,1.0215924,41.582535
1250,false,16,1.040915,41.85414
1250,false,16,1.024979,41.564713
1250,false,16,1.0171852,41.452896
1250,false,16,1.0219312,41.53749
1250,false,16,1.0290235,41.6794
1250,false,16,1.0339617,41.796463
1250,false,16,1.0366042,41.899612
1250,false,13.12,1.0207013,41.550735
1250,false,13.12,0.9646745,38.992393
1250,false,13.12,0.93130827,38.539207
1250,false,13.12,0.92788416,38.500633
1250,false,13.12,0.93870234,38.613304
1250,false,13.12,0.9262926,38.439964
1250,false,13.12,0.9327741,38.51937
1250,false,13.12,0.93578494,38.698326
1250,false,13.12,0.93273586,38.60012
1250,false,13.12,0.933393,38.600674
1250,false,11.392,0.936993,38.817467
1250,false,11.392,0.90420645,37.636745
1250,false,11.392,0.9038001,37.67007
1250,false,11.392,0.90577406,37.663296
1250,false,11.392,0.90308416,37.597008
1250,false,11.392,0.9049992,37.712975
1250,false,11.392,0.9480921,38.285423
1250,false,11.392,0.9222777,37.96041
1250,false,11.392,0.9175852,37.87991
1250,false,11.392,0.92330205,37.954678
1250,false,10.3552,0.9155213,37.887173
1250,false,10.3552,0.89672536,37.426414
1250,false,10.3552,0.9090386,37.566677
1250,false,10.3552,0.92871034,37.92117
1250,false,10.3552,0.9368755,38.350304
1250,false,10.3552,0.92141634,37.726833
1250,false,10.3552,0.9654979,38.395718
1250,false,10.3552,0.9386809,38.063927
1250,false,10.3552,0.91765666,37.651207
1250,false,10.3552,0.8978994,37.42062
1250,false,9.73312,0.89978933,37.43612
1250,false,9.73312,0.9657669,38.489647
1250,false,9.73312,0.90093523,37.52798
1250,false,9.73312,0.89916575,37.529385
1250,false,9.73312,0.8952084,37.42263
1250,false,9.73312,0.9182141,37.872887
1250,false,9.73312,0.91677606,37.724815
1250,false,9.73312,1.0226573,39.379295
1250,false,9.73312,0.9196502,37.764492
1250,false,9.73312,0.92071414,37.780117
1250,false,10.155705,0.94672096,38.080593
1250,false,10.155705,0.90097916,37.611534
1250,false,10.155705,0.9199311,37.935513
1250,false,10.155705,0.9144561,37.758144
1250,false,10.155705,0.9355124,38.146446
1250,false,10.155705,0.9159833,38.54531
1250,false,10.155705,0.9172068,37.96902
1250,false,10.155705,0.95380366,40.092243
1250,false,10.155705,0.9625089,39.734337
1250,false,10.155705,0.9249576,38.313744
1250,false,9.823637,0.89741915,37.614285
1250,false,9.823637,0.8971849,37.48733
1250,false,9.823637,0.898978,37.55404
1250,false,9.823637,0.9229399,37.908596
1250,false,9.823637,0.9282112,37.923977
1250,false,9.823637,0.9209372,37.97805
1250,false,9.823637,0.9207006,38.170128
1250,false,9.823637,0.92072207,37.866604
1250,false,9.823637,0.9000931,37.735806
1250,false,9.823637,0.94177914,38.254967
1250,false,9.542715,0.8993534,37.725243
1250,false,9.542715,0.9266759,38.081017
1250,false,9.542715,0.90224093,37.56936
1250,false,9.542715,0.9336768,38.225243
1250,false,9.542715,0.91494477,37.825768
1250,false,9.542715,0.8975424,37.614834
1250,false,9.542715,0.9192372,37.991177
1250,false,9.542715,0.8997488,37.711327
1250,false,9.542715,0.8971055,37.643093
1250,false,9.542715,0.94117427,38.237698
1250,false,9.294314,0.89794695,37.868557
1250,false,9.294314,0.93633246,37.95608
1250,false,9.294314,0.8979235,37.424767
1250,false,9.294314,0.9455244,37.919888
1250,false,9.294314,0.89973617,37.561672
1250,false,9.294314,0.90246457,37.540066
1250,false,9.294314,0.9126576,37.854088
1250,false,9.294314,0.92385477,37.752956
1250,false,9.294314,0.9512025,38.23013
1250,false,9.294314,0.8833951,37.359158
1250,false,9.068167,0.92773306,37.82815
1250,false,9.068167,0.8987214,37.47848
1250,false,9.068167,0.89361054,37.433743
1250,false,9.068167,0.88720787,37.406338
1250,false,9.068167,0.8836754,37.186302
1250,false,9.068167,0.88992697,37.456142
1250,false,9.068167,0.88554597,37.557034
1250,false,9.068167,0.90702516,37.78854
1250,false,9.068167,0.88591194,37.373863
1250,false,9.068167,0.93166125,38.32406
1250,false,8.858021,0.9277565,38.01144
1250,false,8.858021,0.91926265,37.87356
1250,false,8.858021,0.8848066,37.437035
1250,false,8.858021,0.9542878,38.26669
1250,false,8.858021,0.8840749,37.454983
1250,false,8.858021,0.8890529,37.501736
1250,false,8.858021,0.9433511,38.36764
1250,false,8.858021,0.8900406,37.541958
1250,false,8.858021,0.91872025,37.8453
1250,false,8.858021,0.8943348,37.545498
1250,false,9.056244,0.9228965,37.860863
1250,false,9.056244,0.8868627,37.41714
1250,false,9.056244,0.92934793,38.05398
1250,false,9.056244,0.88987356,37.505154
1250,false,9.056244,0.91899127,38.065636
1250,false,9.056244,0.886976,37.59433
1250,false,9.056244,0.8876979,37.44149
1250,false,9.056244,0.89487016,37.623623
1250,false,9.056244,0.88660496,37.554836
1250,false,9.056244,0.8850459,37.533596
1250,false,9.245348,0.8841403,37.581383
1250,false,9.245348,0.919678,38.349754
1250,false,9.245348,0.8980227,37.783535
1250,false,9.245348,0.8979747,37.597927
1250,false,9.245348,0.88893193,37.545864
1250,false,9.245348,0.89119494,37.574062
1250,false,9.245348,0.8895797,37.61099
1250,false,9.245348,0.91056085,37.772793
1250,false,9.245348,0.88750017,37.56649
1250,false,9.245348,0.8839513,37.559353
1250,false,9.06336,0.88695437,37.567593
1250,false,9.06336,0.8860641,37.618313
1250,false,9.06336,0.8956835,37.964504
1250,false,9.06336,0.88435465,37.479214
1250,false,9.06336,0.93074757,38.233604
1250,false,9.06336,0.8844798,37.66006
1250,false,9.06336,0.92897546,38.28457
1250,false,9.06336,0.8866658,37.580044
1250,false,9.06336,0.91443413,37.96328
1250,false,9.06336,0.88881075,37.503807
1250,false,9.239707,0.8971783,37.693687
1250,false,9.239707,0.88638145,37.496548
1250,false,9.239707,0.886064,37.522243
1250,false,9.239707,0.88990664,37.591152
1250,false,9.239707,0.93016005,38.24038
1250,false,9.239707,0.8892446,37.654503
1250,false,9.239707,0.93551546,38.307335
1250,false,9.239707,0.92439044,38.054592
1250,false,9.239707,0.9521751,38.642414
1250,false,9.239707,0.93078274,38.2828
1250,false,9.067887,0.8954561,37.701748
1250,false,9.067887,0.92468977,38.03323
1250,false,9.067887,0.9236951,38.036156
1250,false,9.067887,0.93618906,38.338406
1250,false,9.067887,0.90182674,37.746544
1250,false,9.067887,0.9236847,37.985317
1250,false,9.067887,0.88872135,37.508816
1250,false,9.067887,0.90225583,37.785732
1250,false,9.067887,0.9537827,39.238056
1250,false,9.067887,0.9635201,41.44246
1250,false,8.899736,0.94546413,41.340042
1200,false,8.899736,0.79985905,33.741795
1200,false,8.899736,0.80381685,33.478493
1200,false,8.899736,0.7942165,33.28208
1200,false,8.899736,0.79626507,33.279213
1200,false,8.899736,0.7974012,33.27311
1200,false,8.899736,0.80021656,33.720497
1200,false,8.899736,0.7997318,33.287025
1200,false,8.899736,0.80399525,33.331337
1200,false,8.899736,0.79845375,33.230507
1200,false,8.734583,0.8063821,33.31272
1200,false,8.734583,0.804474,33.383156
1200,false,8.734583,0.8027029,33.33561
1200,false,8.734583,0.792928,33.192238
1200,false,8.734583,0.793411,33.25217
1200,false,8.734583,0.79394627,33.25846
1200,false,8.734583,0.8164074,33.61271
1200,false,8.734583,0.79795563,33.248512
1200,false,8.734583,0.7933498,33.149147
1200,false,8.734583,0.8000473,33.3126
1200,false,8.897271,0.8109849,33.408054
1200,false,8.897271,0.8121243,33.429848
1200,false,8.897271,0.79539,33.178444
1200,false,8.897271,0.79564685,33.155006
1200,false,8.897271,0.80444837,33.29032
1200,false,8.897271,0.79538655,33.21055
1200,false,8.897271,0.79374635,33.176003
1200,false,8.897271,0.79332733,33.196205
1200,false,8.897271,0.79325086,33.07749
1200,false,8.897271,0.79475254,33.10929
1200,false,9.05792,0.79297787,33.164345
1200,false,9.05792,0.8328885,34.399265
1200,false,9.05792,0.7931039,33.228367
1200,false,9.05792,0.82726103,33.66929
1200,false,9.05792,0.80320895,33.227028
1200,false,9.05792,0.8101925,33.303017
1200,false,9.05792,0.7934971,33.208107
1200,false,9.05792,0.83040017,33.675266
1200,false,9.05792,0.8070894,33.422035
1200,false,9.05792,0.8075257,33.4365
1200,false,8.898964,0.83911633,33.709995
1200,false,8.898964,0.79539305,33.288185
1200,false,8.898964,0.7966067,33.351295
1200,false,8.898964,0.8047866,33.724583
1200,false,8.898964,0.8455452,34.11893
