time,intel-rapl:0,intel-rapl:0:0
0.050434623,39.674459999999996,4.55422
0.10128999,40.881679999999996,4.71654
0.15147981,39.954299999999996,4.62592
0.20162912,39.72694,4.627459999999999
0.25175798,40.2024,4.84228
0.301915,40.07482,4.631399999999999
0.35204622,39.68698,4.538659999999999
0.40216535,40.30766,4.66344
0.45228317,40.00861999999999,4.55056
0.50329286,40.80264,4.6137
0.55348253,40.011359999999996,4.61006
0.6036396,39.99152,4.5975399999999995
0.6537719,39.95124,4.5127
0.70392925,39.93324,4.632339999999999
0.7540658,40.004039999999996,4.696719999999999
0.8042077,40.036379999999994,4.6256
0.8543456,39.971379999999996,4.51272
0.90447205,40.042179999999995,4.636279999999999
0.9546078,39.986019999999996,4.60762
1.0072808,42.35988,4.74738
1.0574095,40.01013999999999,4.66956
1.1075401,39.98327999999999,4.5301
1.1576864,39.5646,4.3713999999999995
1.2078028,40.35986,4.731199999999999
1.2579308,40.025079999999996,4.6769
1.3080533,40.02754,4.58594
1.3581771,39.99274,4.50232
1.408282,40.01196,4.63996
1.4584038,39.97474,4.593579999999999
1.5085249,39.96742,4.474259999999999
1.5586433,40.03394,4.64086
1.6087667,39.942099999999996,4.6558399999999995
1.6588876,39.7834,4.491639999999999
1.7090223,40.20726,4.50324
1.7591689,39.950019999999995,4.65492
1.809279,39.980239999999995,4.641179999999999
1.8593976,40.03668,4.58868
1.9095254,40.00434,4.5005
1.9596585,39.97688,4.52034
2.0097818,40.00496,4.52248
2.0599048,40.025079999999996,4.606999999999999
2.1100297,39.9662,4.498659999999999
2.1601586,33.73818,3.63752
2.2102847,30.29964,3.3714
2.2604191,29.19528,3.3320399999999997
2.3105476,28.25232,3.12454
2.360692,28.741799999999998,3.3234999999999997
2.4108307,27.945319999999995,3.0116199999999997
2.4609683,27.104319999999998,2.93412
2.511104,26.221179999999997,2.76138
2.561241,26.034419999999997,2.8691199999999997
2.6113954,25.61544,2.75834
2.6615314,25.10368,2.6399399999999997
2.714282,25.413420000000002,2.64666
2.7644377,24.28982,2.69058
2.8145812,23.9462,2.6216399999999997
2.8647294,24.246799999999997,2.61826
2.9148698,23.427739999999996,2.4391599999999998
2.9650342,23.39784,2.43884
3.0151892,22.843659999999996,2.36528
3.0653446,22.65692,2.36102
3.1154885,22.48906,2.35798
3.1656349,22.29836,2.37384
3.2157803,22.141479999999998,2.30976
3.2659245,21.831459999999996,2.3011999999999997
3.3160796,21.5034,2.2670399999999997
3.3662238,22.08656,2.44372
3.416385,21.80522,2.1883
3.466543,21.384379999999997,2.15322
3.5166852,20.491199999999996,2.0610399999999998
3.5668437,21.986159999999998,2.2584999999999997
3.6170285,21.064600000000002,2.16052
3.66721,21.00384,2.16542
3.7173784,20.931839999999998,2.2062999999999997
3.7675278,18.706319999999998,1.9328999999999998
3.8176677,23.20132,2.6393199999999997
3.867812,21.05268,2.26948
3.9179678,20.67734,2.21698
3.9681194,20.66574,2.16512
4.018274,19.28458,1.9399
4.0712833,23.2715,2.4843
4.121433,20.471659999999996,2.12606
4.171585,20.433519999999998,2.1321399999999997
4.221735,20.21532,2.0680799999999997
4.271874,20.56076,2.1296999999999997
4.322021,20.29954,2.2029599999999996
4.372182,20.305659999999996,2.19868
4.42229,20.3792,2.13062
4.47244,20.26902,2.0451799999999998
4.522587,20.25958,2.14558
4.5727444,20.23242,2.09402
4.6228895,20.22386,2.09278
4.67529,21.399339999999995,2.13612
4.7254615,20.22358,2.08058
4.775641,20.222939999999998,2.09522
4.8257933,19.885139999999996,2.11874
4.875944,19.90224,2.13916
4.9260826,20.55314,2.1666399999999997
4.9762325,20.187859999999997,2.1660199999999996
5.026397,20.203099999999996,2.1468
5.0765443,20.18818,2.10378
5.126694,19.83814,1.9572999999999998
5.176851,20.226,2.16236
5.227002,20.190299999999997,2.08364
5.277151,20.067639999999997,2.02412
5.327284,19.587,1.9359399999999998
5.3774343,20.229659999999996,2.2325399999999997
5.4275837,20.155199999999997,2.1165999999999996
5.477735,20.194580000000002,2.06838
5.5278816,20.1073,2.0610399999999998
5.5780277,20.20312,2.0286999999999997
5.6281734,20.19366,2.15626
5.6782885,20.105759999999997,2.0397
5.728449,20.067639999999997,2.00612
5.7785954,19.628179999999997,1.9356200000000001
5.828742,20.07434,2.1901399999999995
5.878891,19.99654,2.08912
5.929041,20.092039999999997,2.12086
5.979196,20.12652,2.0574
6.0293407,19.93214,2.06898
6.0794883,20.18144,2.14558
6.1296396,20.08532,2.07234
6.179791,20.06184,2.01498
6.2299395,19.757579999999997,1.94478
6.280088,20.135679999999997,2.12024
6.330236,19.97974,2.03268
6.3832836,20.986159999999998,2.2166799999999998
6.4334292,19.76002,2.04274
6.4835806,20.343179999999997,2.1840399999999995
6.5337467,20.15644,2.0625799999999996
6.583897,20.06304,2.11964
6.6340475,20.434139999999996,2.03816
6.684198,19.71058,1.9795599999999998
6.7343593,20.16406,2.0491599999999996
6.784552,20.070679999999996,2.00398
6.83471,20.062739999999998,1.9866
6.8848653,19.49026,1.99666
6.935013,20.04902,2.17854
6.9851637,20.212259999999997,2.0985799999999997
7.035286,20.112499999999997,2.06654
7.0854344,19.74324,1.9786599999999999
7.135571,20.044439999999998,2.0763
7.1857204,20.16344,2.11386
7.2358727,20.062739999999998,2.058
7.286026,20.0423,1.99666
7.336175,19.62912,1.95362
7.386287,19.97942,2.17152
7.4364333,19.987379999999998,2.13338
7.4865813,20.12682,2.1461799999999998
7.5367284,19.83204,1.9823199999999999
7.586875,20.6096,2.2008199999999998
7.6370254,20.09754,2.07814
